code,fr,en,de,es,it,unite,eu_e_parent,lot_fr,gewerk_de,mode_de_mesure
EU-O 22 20 02,Plancher prédalles précontraintes ép. 15+5,Prestressed precast slab 15+5,Fertigteilplatte vorgespannt 15+5,Forjado de placas pretensadas 15+5,Solaio in predalles precompresso 15+5,m2,EU-E 22 20,03 GO,Betonerarbeiten,"Surface posée, clavages et béton de complément compris"
EU-O 22 40 01,Chape ciment sculptée ép. 5 cm,Cement screed 5cm,Zementestrich 5cm,Capa de mortero 5cm,Massetto cemento 5 cm,m2,EU-E 22 40,14 Revêtements,Estricharbeiten (18353),"Surface plancher fini, plinthes déduites"
EU-O 22 40 03,Isolation sous chape PSE ép. 30,Under-screed EPS insulation 30mm,Trittschall-/Wärmedämmung EPS 30 unter Estrich,Aislamiento bajo capa EPS 30,Isolamento sotto massetto EPS 30,m2,EU-E 22 40,14 Revêtements,Estricharb. (18353),"Surface isolée, film et bandes périphériques compris"
EU-O 23 20 01,Couverture tuiles terre cuite sur liteaux,Clay roof tiling on battens,Tondachziegel auf Lattung,Cubierta teja cerámica,Copertura coppi in cotto,m2,EU-E 23 20,05 Couverture,Dachdeckungsarbeiten (18338),Surface en plan de projection au rampant
EU-O 23 20 04,Faîtage et rives en tuiles spéciales,Ridge and verge special tiles,First und Ortgang mit Formziegeln,Cumbrera y limatesa con tejas especiales,Colmo e costole con coppi speciali,ml,EU-E 23 20,05 Couverture,Dachdeckungsarb. (18338),"Linéaire posé, mortier et crochets compris"
EU-O 23 30 01,Étanchéité bicouche SBS sur isolant,SBS double-layer waterproofing,Dachabdichtung SBS zweilagig,Impermeabilización SBS bicapa,Impermeabilizzazione SBS due strati,m2,EU-E 23 30,05 Étanchéité,Dachabdichtung,Étanche surface + relevés <30 cm comptés en ml
EU-O 23 30 03,Isolation sous étanchéité PIR ép. 120,Under-waterproofing PIR insulation 120mm,Dämmung unter Abdichtung PIR 120,Aislamiento bajo impermeabilización PIR 120,Isolamento sotto impermeabilizzazione PIR 120,m2,EU-E 23 30,05 Couverture-étanchéité,Dachabdichtung,"Surface isolée, pare-vapeur et fixations comprises"
EU-O 24 20 01,Main courante double PMR,Double handrail accessibility,Doppelter Handlauf barrierefrei,Pasamanos doble accesible,Corrimano doppio accessibile,ml,EU-E 24,07 Second œuvre,Metallbauarb.,"Linéaire posé, deux hauteurs, fixations comprises"
EU-O 25 10 03,Façade ventilée cassettes aluminium sur montants,Ventilated facade aluminium cassettes on framing,VHF Aluminiumkassetten auf Unterkonstruktion,Fachada ventilada cassette de aluminio,Facciata ventilata cassette in alluminio,m2,EU-E 25 10,06 Façades,VHF (18351),"Surface de parement, montants, isolation ventilée comprise, angles au ml"
EU-O 25 20 01,Fenêtre alu coulissante double vitrage,Aluminium sliding window double glazed,Schiebefenster Aluminium,Fecha corrediza aluminio,FINESTRA alluminio scorrevole,m2,EU-E 25 20,06 Menuiseries ext.,Tischlerarbeiten (18355),Surface de baie (tableau extérieur)
EU-O 25 20 05,Fenêtre de toit VR 78x118 rotation,Roof window 78x118 pivot,Dachfenster 78x118 Dreh,Ventana de tejado 78x118 giratoria,Finestra per tetto 78x118 basculante,u,EU-E 25 20,05 Couverture,Dachdeckungs-/Tischlerarb.,"Par unité posée, flashed d'étanchéité et habillage intérieur compris"
EU-O 25 20 06,Porte de garage sectionnelle motorisée 240x200,Motorised sectional garage door 240x200,Sektionaltor motorisch 240x200,Puerta de garaje seccional motorizada 240x200,Porta da garage sezionale motorizzata 240x200,u,EU-E 25 20,06 Façades,Tore/Metallbau,"Par unité posée, moteur, rails et sécurité anti-pincement compris"
EU-O 25 20 07,Baie vitrée coulissante alu 2 vantaux grand format,Large-format aluminium sliding glass door,Schiebeanlage Aluminium 2-flügelig groß,Puerta corredera aluminio gran formato,Portafinestra scorrevole alluminio grande formato,m2,EU-E 25 20,06 Façades,Metall-/Glasbau,"Surface de vitrage, châssis et rail au sol compris, seuil PMR inclus"
EU-O 25 30 02,"Store banne motorisé 4,0 x 2,0 m",Motorised retractable awning 4.0 x 2.0 m,"Markise motorisch 4,0 x 2,0 m","Toldo motorizado 4,0 x 2,0 m","Tendalino motorizzato 4,0 x 2,0 m",u,EU-E 25 30,06 Façades,Sonnenschutzgewerk,"Par unité posée, fixation, moteur et commande comprises"
EU-O 25 30 03,Brise-soleil orientables lames aluminium,Adjustable aluminium brise-soleil louvres,Verstellbare Aluminiumlamellen Raffstore,Lamas orientables de aluminio,Frangisole orientabili in alluminio,m2,EU-E 25 30,06 Façades,Sonnenschutzgewerk,"Surface projetée des lames, montants et motorisation comprises"
EU-O 25 40 01,ITE enduit mince sur polystyrène 140,ETICS thin render on EPS 140,WDVS Dünnputz auf EPS 140,SATE con poliestireno 140,Cappotto EPS 140 con intonaco sottile,m2,EU-E 25 40,06 Façades,WDVS (18345),Surface isolée hors baies et >15 cm du sol
EU-O 25 40 04,Lasure façade 2 couches sur bois,Wood facade stain 2 coats,Fassadenlasur 2 Anstriche,Lasura de fachada 2 capas,Lasureura facciata 2 mani,m2,EU-E 25 40,06 Façade / 15,Malerarb. (18363),"Surface traitée, ponçage et préparation compris"
EU-O 26 20 01,Isolation combles perdus ouate de cellulose ép. 300,Loose-fill cellulose insulation 300mm,Zellulose Einblasdämmung 300mm,Aislamiento coladas soplado 300mm,Isolamento in soffitto con cellulosa soffiata 300mm,m2,EU-E 26 20,07 Second œuvre,Dämmarbeiten,"Surface projetée insufflée, pare-vapeur et réglage d'épaisseur compris"
EU-O 26 30 01,Faux plafond dalles 60x60 sur ossature,Suspended ceiling tiles 60x60,Abgehängte Decke 60x60,Falso techo 60x60,Controsoffitto 60x60,m2,EU-E 26 30,07 Plâtrerie,Trockenbauarbeiten (18340),Surface au nu des plinthes de rive
EU-O 26 30 03,Faux plafond acoustique perforé,Perforated acoustic suspended ceiling,Akustikdecke perforiert,Falso techo acústico perforado,Controsoffitto acustico perforato,m2,EU-E 26 30,07 Second œuvre,Trockenbauarb. (18340),"Surface projetée, laine acoustique et ossature comprises"
EU-O 27 10 01,Carrelage grès cérame 60x60 collé,Ceramic floor tiling 60x60,fliesen 60x60 k,,,,,,,
EU-O 27 10 05,Marche d'escalier chêne + contremarche,Oak stair tread + riser,Eichenstufe + Setzstufe,Peldaño de roble + contrahuella,Gradino in rovere + alzata,u,EU-E 27 10,14 Revêtements,Bodenbelags-/Tischlerarb.,"Par marche posée, nez de marche antidérapant compris"
EU-O 27 20 02,Sol PVC en lés soudés,Sheet vinyl welded flooring,PVC-Bahnware verschweißt,Suelo PVC en bobina soldado,Pavimento PVC in rotoli saldato,m2,EU-E 27 20,14 Revêtements,Bodenbelagsarb.,"Surface posée, soudures, plinthes et coving compris"
EU-O 27 20 03,Revêtement résine époxy 2 mm,Epoxy resin coating 2mm,Epoxidharzbeschichtung 2mm,Revestimiento de resina epoxi 2mm,Rivestimento in resina epossidica 2mm,m2,EU-E 27 20,14 Revêtements,Bodenbelagsarb.,"Surface coulée, primaire et finition comprises, planéité préalable exigée"
EU-O 27 30 02,Lambris bois mur sur tasseaux,Timber wall panelling on battens,Holzvertäfelung auf Lattung,Revestimiento de madera sobre listones,Rivestimento in legno su listelli,m2,EU-E 27 30,14 Revêtements / 07,Tischlerarb.,"Surface de parement, tasseaux et lasure comprises"
EU-O 27 40 01,Peinture acrylique mate 2 couches sur enduit,Acrylic matt paint 2 coats,Dispersionsfarbe 2 Anstriche,Pintura plástica 2 capas,Pittura acrilica 2 mani,m2,EU-E 27 40,15 Peinture,Malerarbeiten (18363),"Surface de paroi à peindre, hors plinthes"
EU-O 27 40 03,Peinture de finition sur radiateur,Radiator finish paint,Heizkörperlack,Pintura para radiador,Pittura per termosifoni,u,EU-E 27 40,15 Peinture,Malerarb. (18363),"Par radiateur, préparation et 2 couches comprises"
EU-O 28 10 01,Porte intérieure âme alvéolée boisée + bâti,Hollow core internal door + frame,Innentüre Röhrenspan + Zarge,Puerta interior + marco,Porta interna + telaio,u,EU-E 28 10,07 Menuiseries int.,Tischlerarbeiten (18355),Unité complète posée avec quincaillerie
EU-O 28 10 04,Bloc-porte coupe-feu EI 60,Fire door EI60,T60 Türabschluss,Puerta coupe-feu EI60,Porta tagliafuoco REI60,u,EU-E 28 10,SSI / 07 Second œuvre,Tischler-/Metallbauarb.,"Par unité posée, ferme-porte, joints intumescents et PV d'essai compris"
EU-O 28 20 02,Cuisine équipée (meubles + plan de travail + façades),Fitted kitchen (units + worktop + doors),Einbauküche (Schränke + Arbeitsplatte),Cocina equipada (muebles + encimera),Cucina attrezzata (mobili + top),ml,EU-E 28 20,07 Agencement,Tischlerarb. (18355),"Linéaire de façade posée, tiroirs, charnières et poignées comprises, électroménager exclu"
EU-O 28 20 03,Plan de travail stratifié ép. 38 post-formé,Post-formed laminate worktop 38mm,Arbeitsplatte Schichtstoff 38mm postgeformt,Encimera de estratificado 38mm postformada,Piano di lavoro in laminato 38mm postformato,ml,EU-E 28 20,07 Agencement,Tischlerarb. (18355),"Linéaire posé, joint et encoignures compris"
EU-O 29 01 03,Escalier hélicoïdal métal-bois,Spiral stair steel-wood,Wendeltreppe Stahl-Holz,Escalera helicoidal metal-madera,Scala a chiocciola metallo-legno,u,EU-E 24 10,07 Second œuvre,Metall-/Tischlerbau,"Par unité posée, ancrage et garde-corps compris"
EU-O 30 01 01,Miroir ép. 6 mm collé sur panneau,Mirror 6mm bonded on panel,Spiegel 6mm verklebt,Espejo de 6mm pegado,Specchio 6mm incollato,m2,EU-E 30,07 Second œuvre,Glaserei,"Surface posée, encollage et fixations anti-chute comprises"
EU-O 31 30 01,WC suspendu avec bâti-support,Wall-hung WC with frame,WC hängend mit Vorwandelement,Vatera suspendido con estructura,WC sospeso con incasso,u,EU-E 31 30,16 Plomberie,Gas-/Wasserarb. (18381),Unité complète raccordée et essayée
EU-O 31 30 05,Baignoire acrylique + mitigeur thermostatique,Acrylic bathtub + thermostatic mixer,Acrylwanne + Thermostatbatterie,Bañera acrílica + mezclador termostático,Vasca in acrylic + miscelatore termostatico,u,EU-E 31 30,16 Plomberie,SHK (18381),"Par unité posée, vidage, trop-plein et raccordements compris"
EU-O 31 30 06,Colonne de douche thermostatique encastrée,Concealed thermostatic shower column,Unterputz-Thermostat-Duschsäule,Columna de ducha termostática empotrada,Colonna doccia termostatica a incasso,u,EU-E 31 30,16 Plomberie,SHK (18381),"Par unité posée, nourrices et entraxe de robinetterie compris"
EU-O 31 40 01,Chauffe-eau thermodynamique 200 L,Heat pump water heater 200L,Warmwasserwärmepumpe 200L,Termo eléctrico con bomba de calor 200L,Scaldacqua in pompa di calore 200L,u,EU-E 32 10,16 Plomberie,SHK,"Par unité posée, raccordements hydrauliques et électriques, mise en service comprise"
EU-O 32 10 03,Ballon ECS accumulé 300 L,Stored DHW cylinder 300L,Trinkwasserspeicher 300L,Acumulador ACS 300L,Accumulo ACS 300L,u,EU-E 32 10,17 CVC,SHK,"Par unité posée, isolation, anode et raccordements compris"
EU-O 32 20 03,Radiateur électrique à inertie 1500 W,Inertia electric heater 1500W,Elektrospeicherheizung 1500W,Radiador eléctrico de inercia 1500W,Termoconvettore a inerzia 1500W,u,EU-E 32 20,17 CVC / 18 Élec,Elektroinstallationen,"Par unité posée, support et raccordement électrique compris"
EU-O 32 20 04,Radiateur sèche-serviettes mixte,Towel radiator dual fuel,Handtuchheizkörper elektrisch/zhentral,Radiador toallero mixto,Termoarredo misto,u,EU-E 32 20,17 CVC,SHK,"Par unité posée, robinetterie et kit électrique compris"
EU-O 32 30 01,VMC double flux avec récupération de chaleur,MVHR double flow heat recovery,Lüftungsanlage mit Wärmerückgewinnung,VMC doble flujo con recuperación,VMC a doppio flusso con recupero,u,EU-E 32 30,17 CVC,Lüftungsbau,"Par unité posée, réseau jusqu'à 5 ml, bouches, réglage et PV compris"
EU-O 32 30 03,Gaine souple isolée diam. 160,Insulated flexible duct dia. 160,Isolierte Flexibleitung 160,Conducto flexible aislado 160,Condotto flessibile isolato 160,ml,EU-E 32 30,17 CVC,Lüftungsbau,"Linéaire posé, suspentes et raccords compris"
EU-O 33 10 01,Circuit éclairage (point lumineux),Lighting point circuit,Beleuchtungsstromkreis,Circuito de alumbrado,Circuito illuminazione,u,EU-E 33 30,18 Électricité,Elektroinstallationen,Point lumineux complet (conducteurs + appareil + commande)
EU-O 33 10 04,Prise 16 A + conduit et boîte,Socket 16A + conduit and box,Steckdose 16A + Leitung und Dose,Enchufe 16A + conducción y caja,Presa 16A + conduttura e scatola,u,EU-E 33 10,18 Électricité,Elektroinstallationen,"Par point complet, câblage depuis le tableau au mètre à part"
EU-O 33 10 05,Interrupteur va-et-vient,Two-way switch,Wechselschalter,Conmutador,Deviatore,u,EU-E 33 10,18 Électricité,Elektroinstallationen,"Par point de commande, câblage et boîte compris"
EU-O 33 10 06,Spot LED encastré 7 W dimmable,Recessed LED spot 7W dimmable,Einbauspot LED 7W dimmbar,Spot LED empotrado 7W regulable,Spot LED a incasso 7W dimmerabile,u,EU-E 33 30,18 Électricité,Elektroinstallationen,"Par appareil posé et raccordé, driver dimmable compris"
EU-O 33 20 02,Prise RJ45 Cat 6 + coffret de communication,RJ45 Cat6 outlet + comms cabinet,RJ45 Cat6 Dose + Netzwerkschrank,Toma RJ45 Cat6 + armario,Presa RJ45 Cat6 + armadio,u,EU-E 33 20,18 Électricité,Elektroinstallationen,"Par point certifié, testeur et étiquetage compris"
EU-O 33 30 03,Applique extérieure IP65 avec détection,Outdoor IP65 wall light with sensor,Außenleuchte IP65 mit Sensor,Aplique exterior IP65 con detector,Apparecchio esterno IP65 con sensore,u,EU-E 33 30,18 Électricité,Elektroinstallationen,"Par appareil posé, détection et raccordement compris"
EU-O 33 40 01,Panneau photovoltaïque 400 Wc sur rails,PV panel 400Wp on rails,PV-Modul 400Wp auf Montageschienen,Panel fotovoltaico 400Wc sobre guías,Pannello fotovoltaico 400Wp su binari,u,EU-E 33 10,18 Électricité,Elektroinstallationen,"Par panneau posé, rails et raccordement CC jusqu'à l'onduleur"
EU-O 35 01 02,Extincteur portatif 6 L ABC,Portable extinguisher 6L ABC,Feuerlöscher 6L ABC,Extintor portátil 6L ABC,Estintore portatile 6L ABC,u,EU-E 35,SSI,Brandschutz,"Par unité posée, signalétique et PV de contrôle annuel initial compris"
EU-O 40 02 01,Portail coulissant motorisé 4 m,Sliding gate motorised 4m,Schiebetor motorisch 4m,Portal corredero motorizado 4m,Cancello scorrevole motorizzato 4m,u,EU-L 40,40 Aménagements ext.,Metall-/Torbau,"Par unité posée, rail, moteur et cellules de sécurité comprises"
EU-O 40 30 01,Plantation arbre 8-10 cm de circonférence,Tree planting 8-10cm girth,Baumpflanzung 8-10cm Stammumfang,Plantación de árbol 8-10 cm de perímetro,Piantumazione albero circonferenza 8-10 cm,u,EU-L 40,40 Aménagements ext.,Gartenbau (Landschaftsbau),"Par arbre planté, tuteurage, arrosage de reprise et garantie 1 an compris"
EU-O 40 40 01,Muret de jardin blocs à bancher ép. 20,Garden wall formwork blocks 20cm,Gartenmauer Schalungssteine 20cm,Muro de jardín bloques encofrados 20cm,Muro da giardino blocchi cassero 20cm,m2,EU-L 40,40 Aménagements ext.,Mauerarbeiten (18330),"Surface d'un côté, béton de remplissage et chapeau compris"
