ouvrage_code,composant_code,coefficient,unite_composant,note
EU-O 25 20 05,EU-C 13 02,0.4,u,"Silicone par fenêtre de toit"
EU-O 25 20 06,EU-C 13 02,1.0,u,"Silicone périphérique par porte garage"
EU-O 25 20 06,EU-C 13 03,8.0,u,"Pattes fixation par porte garage"
EU-O 25 30 01,EU-C 13 03,4.0,u,"Pattes de fixation par volet roulant"
EU-O 28 10 02,EU-C 13 01,0.4,u,"Mousse PU par bloc-porte âme pleine"
EU-O 28 10 02,EU-C 13 02,0.3,u,"Silicone par bloc-porte âme pleine"
EU-O 28 10 04,EU-C 13 01,0.5,u,"Mousse PU par bloc-porte CF EI60"
EU-O 28 10 04,EU-C 13 02,0.4,u,"Silicone intumescent par bloc-porte CF"
EU-O 29 01 01,EU-C 13 02,0.2,u,"Silicone fixation main courante par ml"
EU-O 29 01 02,EU-C 13 02,0.3,u,"Silicone par ml de garde-corps verre"
EU-O 30 01 02,EU-C 13 02,0.4,u,"Silicone par m2 de vitrage remplacé"
