code;libelle_fr;libelle_de;unite;lot_fr;gewerk_de
EU-O 28 20 03;Plan de travail stratifié ép. 38 post-formé;Arbeitsplatte Schichtstoff 38mm postgeformt;ml;07 Agencement;Tischlerarb. (18355)
EU-O 29 01 03;Escalier hélicoïdal métal-bois;Wendeltreppe Stahl-Holz;u;07 Second œuvre;Metall-/Tischlerbau
EU-O 30 01 01;Miroir ép. 6 mm collé sur panneau;Spiegel 6mm verklebt;m2;07 Second œuvre;Glaserei
EU-O 31 30 01;WC suspendu avec bâti-support;WC hängend mit Vorwandelement;u;16 Plomberie;Gas-/Wasserarb. (18381)
EU-O 31 30 05;Baignoire acrylique + mitigeur thermostatique;Acrylwanne + Thermostatbatterie;u;16 Plomberie;SHK (18381)
EU-O 31 30 06;Colonne de douche thermostatique encastrée;Unterputz-Thermostat-Duschsäule;u;16 Plomberie;SHK (18381)
EU-O 31 40 01;Chauffe-eau thermodynamique 200 L;Warmwasserwärmepumpe 200L;u;16 Plomberie;SHK
EU-O 32 10 03;Ballon ECS accumulé 300 L;Trinkwasserspeicher 300L;u;17 CVC;SHK
EU-O 32 20 03;Radiateur électrique à inertie 1500 W;Elektrospeicherheizung 1500W;u;17 CVC / 18 Élec;Elektroinstallationen
EU-O 32 20 04;Radiateur sèche-serviettes mixte;Handtuchheizkörper elektrisch/zhentral;u;17 CVC;SHK
EU-O 32 30 01;VMC double flux avec récupération de chaleur;Lüftungsanlage mit Wärmerückgewinnung;u;17 CVC;Lüftungsbau
EU-O 32 30 03;Gaine souple isolée diam. 160;Isolierte Flexibleitung 160;ml;17 CVC;Lüftungsbau
EU-O 33 10 01;Circuit éclairage (point lumineux);Beleuchtungsstromkreis;u;18 Électricité;Elektroinstallationen
EU-O 33 10 04;Prise 16 A + conduit et boîte;Steckdose 16A + Leitung und Dose;u;18 Électricité;Elektroinstallationen
EU-O 33 10 05;Interrupteur va-et-vient;Wechselschalter;u;18 Électricité;Elektroinstallationen
EU-O 33 10 06;Spot LED encastré 7 W dimmable;Einbauspot LED 7W dimmbar;u;18 Électricité;Elektroinstallationen
EU-O 33 20 02;Prise RJ45 Cat 6 + coffret de communication;RJ45 Cat6 Dose + Netzwerkschrank;u;18 Électricité;Elektroinstallationen
EU-O 33 30 03;Applique extérieure IP65 avec détection;Außenleuchte IP65 mit Sensor;u;18 Électricité;Elektroinstallationen
EU-O 33 40 01;Panneau photovoltaïque 400 Wc sur rails;PV-Modul 400Wp auf Montageschienen;u;18 Électricité;Elektroinstallationen
EU-O 35 01 02;Extincteur portatif 6 L ABC;Feuerlöscher 6L ABC;u;SSI;Brandschutz
EU-O 40 02 01;Portail coulissant motorisé 4 m;Schiebetor motorisch 4m;u;40 Aménagements ext.;Metall-/Torbau
EU-O 40 30 01;Plantation arbre 8-10 cm de circonférence;Baumpflanzung 8-10cm Stammumfang;u;40 Aménagements ext.;Gartenbau (Landschaftsbau)
EU-O 40 40 01;Muret de jardin blocs à bancher ép. 20;Gartenmauer Schalungssteine 20cm;m2;40 Aménagements ext.;Mauerarbeiten (18330)
